,Player,Team,Runs,B/F,S/R,4s,6s,RfB,Versus,Venue,Scorecard
1,C H Gayle,Bangalore,175*,66,265.15,13,17,154,Pune Warriors,"Bengaluru, Bangalore",23/04/2013
2,B B McCullum,Kolkata,158*,73,216.44,10,13,118,Bangalore,"Bengaluru, Bangalore",18/04/2008
3,A B de Villiers,Bangalore,129*,52,248.08,10,12,112,Gujarat Lions,"Bengaluru, Bangalore",14/05/2016
4,C H Gayle,Bangalore,128*,62,206.45,7,13,106,Delhi,Delhi,17/05/2012
5,S T Jayasuriya,Mumbai,114*,48,237.50,9,11,102,Chennai,Mumbai,14/05/2008
6,R R Pant,Delhi,128*,63,203.17,15,7,102,Hyderabad,Delhi,10/05/2018
7,C H Gayle,Bangalore,117,57,205.26,7,12,100,Punjab,"Bengaluru, Bangalore",06/05/2015
8,Q de Kock,Lucknow,140*,70,200.00,10,10,100,Kolkata,Mumbai,18/05/2022
9,A B de Villiers,Bangalore,133*,59,225.42,19,4,100,Mumbai,Mumbai,10/05/2015
10,M Vijay,Chennai,127,56,226.79,8,11,98,Rajasthan,Chennai,03/04/2010
11,K L Rahul,Punjab,132*,69,191.30,14,7,98,Bangalore,Dubai,24/09/2020
12,A C Gilchrist,Deccan,109*,47,231.91,9,10,96,Mumbai,Mumbai,27/04/2008
13,V Sehwag,Punjab,122,58,210.34,12,8,96,Chennai,Mumbai,30/05/2014
14,V Kohli,Bangalore,113,50,226.00,12,8,96,Punjab,"Bengaluru, Bangalore",18/05/2016
15,C H Gayle,Bangalore,107,49,218.37,10,9,94,Punjab,"Bengaluru, Bangalore",06/05/2011
16,S R Watson,Chennai,117*,57,205.26,11,8,92,Hyderabad,Mumbai,27/05/2018
17,J C Buttler,Rajasthan,124,64,193.75,11,8,92,Hyderabad,Delhi,02/05/2021
18,J C Buttler,Rajasthan,116,65,178.46,9,9,90,Delhi,Mumbai,22/04/2022
19,J M Bairstow,Hyderabad,114,56,203.57,12,7,90,Bangalore,Hyderabad,31/03/2019
20,S V Samson,Rajasthan,119,63,188.89,12,7,90,Punjab,Mumbai,12/04/2021
21,R M Patidar,Bangalore,112*,54,207.41,12,7,90,Lucknow,Kolkata,25/05/2022
22,D A Warner,Hyderabad,126,59,213.56,10,8,88,Kolkata,Hyderabad,30/04/2017
23,W P Saha,Punjab,115*,55,209.09,10,8,88,Kolkata,"Bengaluru, Bangalore",01/06/2014
24,V Sehwag,Delhi,119,56,212.50,13,6,88,Deccan,Hyderabad,05/05/2011
25,P C  Valthaty,Punjab,120*,63,190.48,19,2,88,Chennai,"Mohali, Chandigarh",13/04/2011
26,M E K Hussey,Chennai,116*,54,214.81,8,9,86,Punjab,"Mohali, Chandigarh",19/04/2008
27,A C Gilchrist,Punjab,106,55,192.73,8,9,86,Bangalore,Dharamsala,17/05/2011
28,A Symonds,Deccan,117*,53,220.75,11,7,86,Rajasthan,Hyderabad,24/04/2008
29,S E Marsh,Punjab,115,69,166.67,11,7,86,Rajasthan,"Mohali, Chandigarh",28/05/2008
30,Y K Pathan,Rajasthan,100,37,270.27,9,8,84,Mumbai,Mumbai,13/03/2010
31,S K Raina,Chennai,87,25,348.00,12,6,84,Punjab,Mumbai,30/05/2014
32,M Vijay,Chennai,113,58,194.83,15,4,84,Delhi,Chennai,25/05/2012
33,B B McCullum,Chennai,100*,56,178.57,7,9,82,Hyderabad,Chennai,11/04/2015
34,K D Karthik,Kolkata,97*,50,194.00,7,9,82,Rajasthan,Kolkata,25/04/2019
35,C H Gayle,Bangalore,102*,55,185.45,10,7,82,Kolkata,Kolkata,22/04/2011
36,D A Warner,Delhi,109*,54,201.85,10,7,82,Deccan,Hyderabad,10/05/2012
37,M A Agarwal,Punjab,106,50,212.00,10,7,82,Rajasthan,Sharjah,27/09/2020
38,D Padikkal,Bangalore,101*,52,194.23,11,6,80,Rajasthan,Mumbai,22/04/2021
39,K P Pietersen,Delhi,103*,64,160.94,6,9,78,Deccan,Delhi,19/04/2012
40,H H Pandya,Mumbai,91,34,267.65,6,9,78,Kolkata,Kolkata,28/04/2019
41,R R Pant,Delhi,97,43,225.58,6,9,78,Gujarat Lions,Delhi,04/05/2017
42,R A Tripathi,Pune Supergiant,93,52,178.85,9,7,78,Kolkata,Kolkata,03/05/2017
43,M L Hayden,Chennai,93,43,216.28,9,7,78,Delhi,Delhi,19/03/2010
44,R G Sharma,Mumbai,109*,60,181.67,12,5,78,Kolkata,Kolkata,12/05/2012
45,A M Rahane,Rajasthan,103*,60,171.67,12,5,78,Bangalore,"Bengaluru, Bangalore",15/04/2012
46,Q de Kock,Delhi,108,51,211.76,15,3,78,Bangalore,"Bengaluru, Bangalore",17/04/2016
47,No. of Records = 46,,,,,,,,,,
